inchikey,smiles,pchembl,chembl_id
AHMPQPOFMWFJEZ-TYBYDDOHSA-N,O=C1N(Cc2ccc(CO)cc2)C(COc2ccccc2)[C@H](O)[C@@H](O)C(COc2ccccc2)N1Cc1ccc(CO)cc1,9.64,CHEMBL150769
AHMPQPOFMWFJEZ-WZJLIZBTSA-N,O=C1N(Cc2ccc(CO)cc2)[C@H](COc2ccccc2)[C@H](O)[C@@H](O)[C@@H](COc2ccccc2)N1Cc1ccc(CO)cc1,9.64,CHEMBL354502
AHNOJPMGTGPRJW-IZZNHLLZSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2ccc(O)cc2o1)S(=O)(=O)c1ccc(N)cc1,5.52,CHEMBL5413884
AHQFJHLAKKUZDL-LJAQVGFWSA-N,COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(CCc2ccccc2)C(=O)Cc2cccc(NS(N)(=O)=O)c2)cc1,7.54,CHEMBL332804
AHRLMVZLPWBZEY-WIOPSUGQSA-N,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cc3cc(O)c(O)cc3o2)cn1,5.64,CHEMBL5395311
AHSQZQWEKNDRIX-UHFFFAOYSA-N,CCCc1cc(O)c(C(c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)C2CC2)c(=O)o1,8.85,CHEMBL82770
AIANQOLSSBJVOH-UHFFFAOYSA-N,CCCNS(=O)(=O)Oc1cc(C(C)(C)C)c(SC2=C(O)OC(C)(CCc3ccc(O)cc3)CC2=O)cc1C,8.21,CHEMBL308889
AIHFOFYSLOCLJP-UHFFFAOYSA-N,OC(C(COCc1ccccc1F)OCc1ccccc1)C(O)C(COCc1ccccc1F)OCc1ccccc1,6.22,CHEMBL121287
AIJDHPXDBFALDV-YRYQETGNSA-N,CC(C)[C@H](NC(=O)CCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)CCc1ccccn1)C(C)C,7.92,CHEMBL331829
AIOQZNXKOQUMQK-QXIHQKPUSA-N,CC(=O)c1ccc(N2C[C@@H](C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)OC2=O)cc1,10.8,CHEMBL385789
AIQMZJQTKPUPCL-UHFFFAOYSA-N,CC(C)(C)OC(=O)NCCC(=O)Nc1cccc(C(c2c(O)oc3ccccc3c2=O)C2CC2)c1,7.07,CHEMBL121000
AISFAFYUWYMJCO-VPCUPKFXSA-N,CC(C)c1nc(CCC(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)cs1,,CHEMBL155241
AIUFCENHONWFHI-UHFFFAOYSA-N,CC(C)(C)NC(=O)C1CN(Cc2cc3cccnc3s2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,9.96,CHEMBL113845
AJLWKZXUZZZONU-RNATXAOGSA-N,CC(C)(C)NC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)NC(C)(C)C)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,8.62,CHEMBL313516
AJMLQZYOPGTFTI-VIJSPRBVSA-N,CC(C)=CCN1C(=O)N(CC=C(C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,8.8,CHEMBL286393
AJOPGXAKMVXEDY-KRDNKVJXSA-N,CC(C)[C@H](CCc1ccccc1)NC(=O)C(F)(F)C(=O)C(Cc1ccc(OCc2ccccc2)cc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,7.89,CHEMBL20135
AJPKIPJBVMYDNN-UHFFFAOYSA-N,CCC(Cc1ccccc1)c1cc(O)c(C(c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)C2CC2)c(=O)o1,9.28,CHEMBL312178
