tag,smiles,affinity,pose
lig_0167,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(C)(F)F,-8.69,dockrun/out/lig_0167_best.pdbqt
lig_0070,CCCC1(c2ccccc2)CC(=O)C(SCCc2ccccc2)=C(O)O1,-8.657,dockrun/out/lig_0070_best.pdbqt
lig_0045,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N1CCc2ccccc21,-8.652,dockrun/out/lig_0045_best.pdbqt
lig_0014,Cc1ccccc1C=C1OC(=O)C(NC2CCCC2)=C1O,-8.644,dockrun/out/lig_0014_best.pdbqt
lig_0085,NC1NCC(OCc2ccccc2)OC(CO)C1OCc1ccccc1,-8.644,dockrun/out/lig_0085_best.pdbqt
lig_0146,[CH][C@H](Cc1ccccc1)NC(=O)C(NC(=O)OCc1csc(N2CCOCC2)n1)C(C)C,-8.639,dockrun/out/lig_0146_best.pdbqt
lig_0061,O=c1cc(-c2ccccc2)oc(O)c1SCc1ccccc1,-8.621,dockrun/out/lig_0061_best.pdbqt
lig_0163,N#Cc1ccc(Cn2cnc(CC/C=C/c3ccccc3C[CH]OC(N)=O)c2)cc1,-8.616,dockrun/out/lig_0163_best.pdbqt
lig_0087,CC(C)C(NC(=O)N(C)Cc1cc(C(C)(C)C)on1)C(=O)N[CH]Cc1ccccc1,-8.606,dockrun/out/lig_0087_best.pdbqt
lig_0173,CSCC[C]1C[C@@H](O)C[C@](CO)(Cc2ccccc2)CN1Cc1cccc(CO)c1,-8.604,dockrun/out/lig_0173_best.pdbqt
lig_0182,[CH][C@@H](O)[C@@H](OCc1ccc(-c2cccc(C(C)=O)c2)cc1)C(=O)N[CH]C(=O)NC,-8.589,dockrun/out/lig_0182_best.pdbqt
lig_0099,COc1c(Cl)ccc2c1C(COc1ccccc1)(c1ccc(O)cc1)C(=O)N2,-8.58,dockrun/out/lig_0099_best.pdbqt
lig_0136,CCc1ccccc1SC1=C(O)OC(CCCC(=O)O)(c2ccccc2)CC1=O,-8.575,dockrun/out/lig_0136_best.pdbqt
lig_0062,O=c1oc(-c2ccccc2)cc(O)c1SCc1ccccc1,-8.567,dockrun/out/lig_0062_best.pdbqt
